shard,processing_rank,n_input,n_output,n_not_output,n_not_output_seen,n_failed_reconstructed,fail_rate_reconstructed,log_n_input,log_n_written,log_n_dup_plus_force,log_n_failed,matches_log
gen2_shard_00003,0,57635,57635,0,0,0,0.000000,,,,,
gen2_shard_00004,1,58169,57699,470,470,0,0.000000,,,,,
gen2_shard_00005,2,57975,57247,728,728,0,0.000000,,,,,
gen2_shard_00006,3,57832,56944,888,888,0,0.000000,,,,,
gen2_shard_00007,4,58703,57463,1240,1240,0,0.000000,,,,,
gen2_shard_00008,5,57987,56801,1186,1186,0,0.000000,,,,,
gen2_shard_00009,6,58877,57550,1327,1327,0,0.000000,,,,,
gen2_shard_00010,7,57609,56294,1315,1315,0,0.000000,,,,,
gen2_shard_00011,8,58453,57031,1422,1422,0,0.000000,,,,,
gen2_shard_00012,9,57986,56435,1551,1551,0,0.000000,,,,,
gen2_shard_00013,10,58997,57373,1624,1624,0,0.000000,,,,,
gen2_shard_00014,11,57286,55528,1758,1758,0,0.000000,,,,,
gen2_shard_00015,12,58436,56680,1756,1756,0,0.000000,,,,,
gen2_shard_00016,13,58254,56492,1762,1762,0,0.000000,,,,,
gen2_shard_00017,14,58290,56489,1801,1801,0,0.000000,,,,,
gen2_shard_00018,15,58746,56833,1913,1913,0,0.000000,,,,,
gen2_shard_00019,16,58038,56091,1947,1947,0,0.000000,,,,,
gen2_shard_00020,17,58304,56274,2030,2030,0,0.000000,,,,,
gen2_shard_00021,18,57943,55929,2014,2014,0,0.000000,,,,,
gen2_shard_00022,19,57963,55954,2009,2009,0,0.000000,,,,,
gen2_shard_00023,20,58638,56555,2083,2083,0,0.000000,,,,,
gen2_shard_00024,21,58613,56500,2113,2113,0,0.000000,,,,,
gen2_shard_00025,22,58490,56201,2289,2289,0,0.000000,,,,,
gen2_shard_00026,23,58649,56405,2244,2244,0,0.000000,,,,,
gen2_shard_00027,24,58367,56174,2193,2193,0,0.000000,,,,,
gen2_shard_00028,25,58246,56051,2195,2195,0,0.000000,,,,,
gen2_shard_00029,26,58326,56019,2307,2307,0,0.000000,,,,,
gen2_shard_00030,27,57978,55699,2279,2279,0,0.000000,,,,,
gen2_shard_00031,28,58497,56107,2390,2390,0,0.000000,,,,,
gen2_shard_00032,29,58182,55760,2422,2422,0,0.000000,,,,,
gen2_shard_00033,30,58185,56020,2165,2165,0,0.000000,,,,,
gen2_shard_00034,31,58382,55913,2469,2469,0,0.000000,,,,,
gen2_shard_00035,32,57979,55514,2465,2465,0,0.000000,,,,,
gen2_shard_00036,33,57757,55362,2395,2395,0,0.000000,,,,,
gen2_shard_00037,34,57758,55352,2406,2406,0,0.000000,,,,,
gen2_shard_00038,35,57680,55219,2461,2461,0,0.000000,,,,,
gen2_shard_00039,36,58421,55730,2691,2691,0,0.000000,,,,,
gen2_shard_00040,37,58195,55780,2415,2415,0,0.000000,,,,,
gen2_shard_00041,38,58143,55543,2600,2600,0,0.000000,,,,,
gen2_shard_00042,39,58302,55869,2433,2433,0,0.000000,,,,,
gen2_shard_00043,40,58102,55667,2435,2435,0,0.000000,,,,,
gen2_shard_00044,41,57633,55143,2490,2490,0,0.000000,,,,,
gen2_shard_00045,42,58104,55686,2418,2418,0,0.000000,,,,,
gen2_shard_00046,43,58174,55441,2733,2733,0,0.000000,,,,,
gen2_shard_00047,44,57580,55087,2493,2493,0,0.000000,,,,,
gen2_shard_00048,45,57732,55112,2620,2620,0,0.000000,,,,,
gen2_shard_00049,46,57157,54438,2719,2719,0,0.000000,,,,,
gen2_shard_00050,47,58340,55574,2766,2766,0,0.000000,,,,,
gen2_shard_00051,48,58520,55793,2727,2727,0,0.000000,,,,,
gen2_shard_00052,49,58504,55749,2755,2755,0,0.000000,,,,,
gen2_shard_00053,50,58105,55449,2656,2656,0,0.000000,,,,,
gen2_shard_00001,51,58075,55315,2760,2760,0,0.000000,,,,,
gen2_shard_00002,52,58766,55975,2791,2791,0,0.000000,,,,,
