fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"8/6p1/5k1p/r7/5NKP/6P1/8/8 w - - 4 56",-369,-211,-229,-219
"r2qk2r/1b5p/p2b1ppn/1p1pn3/1P2P2P/2PBP3/Q2PN1P1/RNB1K2R w kq - 1 11",-190,-101,-68,-87
"5rk1/8/q5pb/3Pp3/p1N1Pn1p/1P3R1P/1PR3PK/3Q4 b - - 0 30",-316,-346,-378,-360
"8/8/5pk1/6p1/7p/r1P2P1P/3KR1P1/8 b - - 0 51",-98,-34,-46,-42
"1r6/p4pRp/1pBk1n2/2p1pP2/P4b2/5N2/1Pr4P/R3K3 w Q - 0 20",-218,-134,-134,-140
"1k6/1p3N2/p1n5/4P3/5P1p/7P/r5r1/2R2R1K w - - 0 29",-107,-144,-119,-114
"8/8/1P6/3NR3/6pk/1r4p1/6K1/8 w - - 1 49",211,310,270,187
"2rq1rk1/3nbpp1/p2p1n1p/1p1Pp3/2P3bP/2N1PN2/PBQ1BPP1/R4RK1 b - - 1 11",201,96,118,102
"r4rk1/1QB2n2/2p5/3p1bpp/3P1P1q/P1PN4/P2K1n2/R4BR1 b - - 0 20",319,-45,-52,65
"8/6R1/3p1kp1/4p2p/4P2P/5KP1/2r5/8 w - - 44 55",-1,-169,-174,-170
"2r5/8/pkn1p2R/2np4/8/Pq6/1P3R2/1K2Q3 b - - 3 34",407,459,393,364
"3R4/8/3b4/p1k2r1p/P1P4P/6P1/6K1/8 b - - 4 72",375,254,242,256
"2r5/1kp5/p1R1p2r/Bp1P4/7b/P3P3/1P2K3/7R w - - 1 28",133,158,169,203
"r3kb1r/ppp2p1p/2n1bp2/2Pp3q/3P1B2/2N2N2/PP2P1BP/R2Q1K1R w - - 2 9",547,214,266,222
"4Q3/6pk/8/2q2p2/1p2p2p/1P2N2P/P5PK/8 b - - 0 41",0,54,17,0
"r3k2r/2pqn1p1/1p1n1p2/p2p3p/5P1N/2BBP1Pb/P1QP1R1P/1R4K1 w kq - 8 14",-95,-65,-44,-69
"1k1rr1b1/1ppq3p/p4bn1/5p2/3p4/P2P1NP1/1PPBPQBP/R2K1R2 w - - 6 19",-1,100,100,81
"r1b1k2r/1p3p1p/p1n3p1/q2pP3/4n3/NB2b3/PP3PPP/R2Q1KNR w kq - 0 10",-292,-59,-62,-62
"r1q2rk1/p3p2p/1p2Pp1b/1P1Q1p2/8/4PPP1/PB1NN1KP/2R5 b - - 2 16",-258,-338,-337,-318
"4rr2/1pq3kp/p1nR2p1/2P2b2/PPB5/2P2P2/5KPP/3Q3R b - - 2 19",342,-23,-41,1
"4R3/kpn5/pN3r1n/P1KP4/5p2/5P1B/1P6/8 w - - 14 56",489,584,601,687
"r4k2/1p5p/6p1/5bP1/1p2B3/1P6/PB1PP3/1K6 w - - 2 23",-360,-93,-90,-90
"r3nb2/3k1pp1/2b1p2p/1p1p4/3P2P1/2BBPN2/4KP1P/2R5 b - - 1 26",223,35,64,77
"8/8/8/4p1k1/4p1p1/4N1P1/5P1K/8 w - - 1 48",486,305,317,308
"8/3r3p/2N5/8/5k1P/8/6K1/8 w - - 1 45",-407,-296,-318,-317
"2b5/8/5k2/2r3p1/3N1p1p/5P2/3R2PK/8 w - - 8 50",-15,-216,-244,-229
"4r1k1/pp3pbp/q5p1/3p4/P3n2P/2PbB1P1/5PB1/R2QK2R w - - 4 21",-564,-370,-356,-363
"2k1r3/p2q4/2pb1p1p/2pp4/P7/2PQ1P2/1P4K1/R4N2 b - - 3 22",548,440,445,450
"2rqr1k1/1p3ppp/p3bn2/P2p4/1b6/1P1QPB2/1B1N1PPP/R2R2K1 w - - 7 15",53,-37,-80,-21
"8/8/6p1/P6p/3pkP1P/8/4K3/1b6 b - - 0 51",537,556,660,870
"rnbqk2r/1p4pp/p2p1n2/3P1p2/3QpP2/P1N1P1PP/1P6/R1B1KB1R b KQkq - 0 9",-20,37,36,70
"r4rk1/5pp1/2Nb1n1p/3p4/3N4/p3P2P/1qb1BPP1/R3QRK1 b - - 1 21",307,242,233,247
"6k1/1R6/7R/8/r7/4r3/1KP3PP/8 w - - 7 35",470,462,446,445
"8/p6p/8/1P1k4/3n4/3N1P2/6K1/8 w - - 3 47",-147,-183,-195,-207
"8/8/5P2/pk2p2R/1p3b2/1n3P2/1BNr4/5K2 b - - 2 50",245,329,338,332
"r4rk1/1pp2ppp/2n2q2/p2p4/8/1PbQP1PP/PBP5/2KR1B2 w - - 0 14",-344,-212,-225,-284
"4Qb2/1q3pkp/p4pp1/B1p2b2/2P5/1P3r1P/5PP1/1R4K1 w - - 0 35",-317,-485,-450,-504
"k7/7p/7P/7b/3BK3/8/8/8 w - - 17 66",13,146,121,122
"8/2k5/4bn2/2p1p3/3rPp1p/pPP2BrP/3NR1P1/1K1R4 b - - 0 40",126,216,199,174
"r2qk2r/pp3pp1/5n2/5b1p/1bPp4/3PPNPP/PB1NQ3/R3K2R b KQkq - 0 12",139,103,112,114
"3r4/1kp4n/p1p3r1/8/1PB5/2P5/P1K4P/R3R3 b - - 11 32",-69,-126,-118,-92
"2r1r1k1/1p3pp1/p6p/8/P1pR4/5PB1/n5PP/1R5K w - - 3 24",-286,-87,-159,-167
