fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,536.0,652.0,f7f6,quiet,10,0.020806,116.0,0
3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,-239.0,174.0,g1g7,capture,14,0.529693,413.0,0
8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,-225.0,-81.0,c5c4,quiet,20,0.170525,144.0,0
2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,-2477.0,-506.0,h3c8,capture,24,0.051525,1971.0,0
6k1/p7/7P/P7/8/1p6/5K2/r7 b - - 0 37,1984.0,4531.0,b3b2,quiet,7,0.000011,2547.0,0
1k1r4/pbppn1p1/3b4/1NpP1qP1/P7/4B3/1P4Q1/K2RR3 w - - 3 26,383.0,725.0,b5d6,capture,21,0.084161,342.0,0
8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,371.0,269.0,f5e4,quiet,17,0.069625,102.0,0
5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,-987.0,1379.0,a2a1q,promotion,12,0.996247,2366.0,0
2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,175.0,291.0,c6a7,capture,20,0.109751,116.0,0
2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,-314.0,-295.0,h2h4,quiet,22,0.013769,19.0,0
8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,-325.0,-341.0,c2b2,quiet,7,0.010296,16.0,0
3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,1792.0,2099.0,e2g2,capture,12,0.000027,307.0,0
3r2k1/3P1p1p/1q4p1/8/1B6/P4Q2/1pr2PPP/3R2K1 w - - 0 35,-515.0,-487.0,h2h3,quiet,17,0.008089,28.0,0
r4rk1/p1pqbppp/1p6/n7/3P4/2Q2NB1/P3PP1P/2R2KR1 b - - 4 16,264.0,267.0,a8c8,quiet,23,0.002529,3.0,0
1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,68.0,241.0,e1e5,capture,22,0.203533,173.0,0
bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,-96.0,-23.0,a8b7,quiet,25,0.101692,73.0,0
1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,-726.0,-656.0,a1a5,capture,28,0.007316,70.0,0
rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,-803.0,-489.0,c4e3,capture,19,0.046791,314.0,0
3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,-589.0,-630.0,a6b7,quiet,10,0.006674,41.0,0
4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,-966.0,-767.0,d1a1,capture,19,0.008116,199.0,0
r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,567.0,820.0,b4c3,quiet,25,0.027996,253.0,0
3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,-3.0,21.0,f4g5,quiet,5,0.034502,24.0,0
2kr1b1r/1bpqn1pp/pn2pp2/1p6/3P4/P1PB1NNP/1P3PP1/R1BQK2R w Q - 1 10,-44.0,-75.0,g3e4,quiet,30,0.043303,31.0,0
1B4k1/6p1/7p/PN3p2/2Pp2n1/1n1P2P1/1P2r2P/5RK1 b - - 0 24,-339.0,-349.0,b3a5,capture,18,0.006136,10.0,0
2kr1b1r/pppbn3/2n5/3p1pqp/3PpN1N/1P2P1PP/P1P5/R1BQKBR1 w Q - 4 10,-156.0,-145.0,d1d2,quiet,30,0.013195,11.0,0
6k1/R7/1p1P4/6b1/1N2p2p/2r5/P1P2K2/8 w - - 0 37,-118.0,53.0,d6d7,quiet,12,0.239261,171.0,0
6k1/6p1/1R1B1p1p/1p5P/8/P5P1/r1r2P2/6K1 b - - 8 40,799.0,1518.0,c2f2,capture,14,0.009797,719.0,0
r1bqk2r/p3bpp1/3p2n1/2p1p1Pp/1p1NP2P/1P1PBB2/PNP2P2/R2QK2R b KQkq - 0 11,-584.0,68.0,c5d4,capture,31,0.563117,652.0,0
3q2kr/2p2p2/6p1/np1NQ2p/b2P4/2P2P1P/1P3KP1/7R w - - 1 22,-154.0,55.0,d5f6,quiet,20,0.286663,209.0,0
r3k2r/pp2b1pp/n1bp1n2/qP3p2/2P2N2/P1N1P3/3B2PP/R2QKB1R b KQkq - 0 12,-397.0,-762.0,a6c5,quiet,28,0.080054,365.0,0
r7/7r/1p2Qpkp/1B4p1/PB6/2R5/6KP/3q4 b - - 4 30,-557.0,-533.0,d1d2,quiet,15,0.005511,24.0,0
r1bqk2r/pp3p2/2n5/2N1p2p/3p1P1N/BP4n1/2QP2P1/R3KB2 w Qkq - 4 16,-342.0,-460.0,h4f3,quiet,24,0.056413,118.0,0
R7/6k1/2p5/4N2p/1p3p2/1P4n1/5R1K/2r5 b - - 1 56,-760.0,-1054.0,c1b1,quiet,12,0.010121,294.0,0
2kr2nr/pbpq1pbp/1pnpp3/5P2/3PP1PR/2N1BN2/PPP1Q1B1/2KR4 b - - 5 9,-428.0,-346.0,c8b8,quiet,30,0.041636,82.0,0
2r3k1/6pp/1p1Bbp2/3p4/p7/P3PPK1/1Pr3PP/1R5R b - - 5 29,207.0,172.0,d5d4,quiet,20,0.037915,35.0,0
3r4/1k1r3p/1pb1p1p1/2p1Pp1n/5P1b/1PKBBP1P/2P1N3/R4R2 b - - 6 24,315.0,77.0,d8e8,quiet,24,0.250726,238.0,0
2k5/3p1Q2/p1p5/2b3p1/8/P1P3N1/1P1q1P2/6K1 b - - 0 31,222.0,437.0,d2b2,capture,14,0.143128,215.0,0
2r4k/R5pp/1pp5/8/8/1P1B4/P1P2P1r/2KN4 b - - 0 26,-728.0,-683.0,h7h5,quiet,15,0.004324,45.0,0
r4b1r/p2b2pk/n2p3p/1B1q1p2/4p3/PP2P2P/1BQ2PP1/2K3NR w - - 0 17,-1085.0,-469.0,b5a6,capture,25,0.061051,616.0,0
2r1k1nr/p2q2pp/5p2/1p1B4/1b2P1b1/1P1Q4/P2P3P/R1B1K1NR w KQk - 4 13,-380.0,-464.0,a2a3,quiet,24,0.036176,84.0,0
8/8/6k1/3p2p1/p2P4/B1P5/1P3K2/3b4 b - - 5 46,56.0,79.0,d1c2,quiet,10,0.031871,23.0,0
8/3k4/6n1/6P1/8/8/3K4/8 b - - 4 62,53.0,40.0,d7c8,quiet,4,0.018375,13.0,0
3r2k1/p1q2pn1/5R2/1p4Pp/2pPB1b1/8/PP3Q2/5NK1 w - - 4 30,-120.0,-20.0,g5g6,quiet,19,0.137389,100.0,0
8/7b/7P/8/5k2/8/7K/8 w - - 20 68,-58.0,-101.0,h2h3,quiet,4,0.058688,43.0,0
5R2/p7/4k3/8/2pp3p/P7/1P2n2P/7K w - - 0 36,102.0,391.0,f8e8,quiet,11,0.262004,289.0,0
5k2/5P2/2n1P3/5K2/8/8/8/8 b - - 14 79,-65.0,-67.0,c6d8,quiet,5,0.002777,2.0,0
8/5Q2/kp6/2q4p/7P/P3N1P1/4b2K/8 w - - 6 43,109.0,22.0,f7f2,quiet,11,0.120294,87.0,0
8/5N2/5kp1/6Np/3b2P1/2nP1K1P/5P2/8 b - - 0 42,-335.0,-14.0,c3d1,quiet,12,0.352937,321.0,0
r3kb1r/p2n1ppp/2pqp3/1p1n1b2/2PP4/5NP1/P2BPPBP/RN1Q1RK1 b kq - 0 10,-233.0,-112.0,b5c4,capture,30,0.136876,121.0,0
