index,fen,budget,kind,score,depth,nodes,bestmove
0,3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,20000,cp,226,5,7235,c6f3
0,3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,50000,cp,207,7,39071,c6h1
0,3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,100000,cp,207,7,39071,c6h1
0,3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,200000,cp,190,9,161913,c6h1
0,3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,400000,cp,215,10,206795,c6h1
0,3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,1000000,cp,191,11,964426,c6d5
0,3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,2000000,cp,213,13,1922749,c6d5
1,3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,20000,cp,26,6,17117,g1g7
1,3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,50000,cp,22,7,32884,g1g7
1,3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,100000,cp,6,8,82568,g1g7
1,3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,200000,cp,10,9,124445,g1g7
1,3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,400000,cp,-7,10,306568,g1g7
1,3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,1000000,cp,7,11,633682,g1g7
1,3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,2000000,cp,1,12,1017430,g1g7
2,8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,20000,cp,-24,7,12560,c5c4
2,8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,50000,cp,12,8,36444,c5c4
2,8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,100000,cp,19,10,73538,c5c4
2,8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,200000,cp,20,12,178608,c5c4
2,8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,400000,cp,34,13,370282,c5c4
2,8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,1000000,cp,34,14,565343,c5c4
2,8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,2000000,cp,52,15,1203822,c5c4
3,2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,20000,cp,-171,5,7397,h3c8
3,2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,50000,cp,-116,7,45509,h3c8
3,2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,100000,cp,-159,8,77902,h3c8
3,2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,200000,cp,-133,9,162083,h3c8
3,2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,400000,cp,-123,11,379470,h3c8
3,2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,1000000,cp,-121,12,834388,h3c8
3,2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,2000000,cp,-128,13,1262351,h3c8
4,6k1/p7/7P/P7/8/1p6/5K2/r7 b - - 0 37,20000,cp,1538,6,13127,b3b2
4,6k1/p7/7P/P7/8/1p6/5K2/r7 b - - 0 37,50000,cp,1626,8,27966,b3b2
4,6k1/p7/7P/P7/8/1p6/5K2/r7 b - - 0 37,100000,cp,1713,9,67206,b3b2
