fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,-14.0,297.0,c6f3,quiet,10,0.366930,311.0,0
3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,-55.0,79.0,g1g7,capture,14,0.190267,134.0,0
8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,-72.0,-3.0,c5c4,quiet,20,0.097841,69.0,0
2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,-880.0,-135.0,h3c8,capture,24,0.308670,745.0,0
6k1/p7/7P/P7/8/1p6/5K2/r7 b - - 0 37,571.0,1631.0,b3b2,quiet,7,0.035938,1060.0,0
1k1r4/pbppn1p1/3b4/1NpP1qP1/P7/4B3/1P4Q1/K2RR3 w - - 3 26,26.0,154.0,b5d6,capture,21,0.170819,128.0,0
8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,-226.0,-110.0,e1d1,quiet,17,0.132779,116.0,0
5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,-409.0,543.0,a2a1q,promotion,12,0.871226,952.0,0
2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,102.0,76.0,f1b5,quiet,20,0.035052,26.0,0
2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,-110.0,-60.0,d2f2,quiet,22,0.067718,50.0,0
8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,-21.0,-128.0,c2b2,quiet,7,0.146117,107.0,0
3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,841.0,1889.0,e2c2,quiet,12,0.007817,1048.0,0
3r2k1/3P1p1p/1q4p1/8/1B6/P4Q2/1pr2PPP/3R2K1 w - - 0 35,-249.0,-313.0,h2h3,quiet,17,0.050940,64.0,0
r4rk1/p1pqbppp/1p6/n7/3P4/2Q2NB1/P3PP1P/2R2KR1 b - - 4 16,-1.0,106.0,d7h3,quiet,23,0.149422,107.0,0
1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,255.0,259.0,e1e5,capture,22,0.003479,4.0,0
bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,151.0,77.0,b8d7,quiet,25,0.095552,74.0,0
1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,-121.0,-164.0,a1a5,capture,28,0.052501,43.0,0
rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,-310.0,-140.0,c4e3,capture,19,0.165016,170.0,0
3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,-209.0,-148.0,a6b7,quiet,10,0.068099,61.0,0
4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,-195.0,-248.0,d1a1,capture,19,0.052073,53.0,0
r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,210.0,183.0,f2f3,quiet,25,0.028663,27.0,0
3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,128.0,47.0,f4g5,quiet,5,0.109073,81.0,0
2kr1b1r/1bpqn1pp/pn2pp2/1p6/3P4/P1PB1NNP/1P3PP1/R1BQK2R w Q - 1 10,-208.0,32.0,d1e2,quiet,30,0.313974,240.0,0
1B4k1/6p1/7p/PN3p2/2Pp2n1/1n1P2P1/1P2r2P/5RK1 b - - 0 24,-172.0,-36.0,g4e3,quiet,18,0.177486,136.0,0
2kr1b1r/pppbn3/2n5/3p1pqp/3PpN1N/1P2P1PP/P1P5/R1BQKBR1 w Q - 4 10,19.0,-2.0,f1b5,quiet,30,0.030194,21.0,0
6k1/R7/1p1P4/6b1/1N2p2p/2r5/P1P2K2/8 w - - 0 37,38.0,89.0,d6d7,quiet,12,0.070882,51.0,0
6k1/6p1/1R1B1p1p/1p5P/8/P5P1/r1r2P2/6K1 b - - 8 40,310.0,454.0,c2f2,capture,14,0.075469,144.0,0
r1bqk2r/p3bpp1/3p2n1/2p1p1Pp/1p1NP2P/1P1PBB2/PNP2P2/R2QK2R b KQkq - 0 11,-134.0,117.0,e5d4,capture,31,0.346104,251.0,0
3q2kr/2p2p2/6p1/np1NQ2p/b2P4/2P2P1P/1P3KP1/7R w - - 1 22,-180.0,0.0,d5f6,quiet,20,0.238109,180.0,0
r3k2r/pp2b1pp/n1bp1n2/qP3p2/2P2N2/P1N1P3/3B2PP/R2QKB1R b KQkq - 0 12,64.0,-117.0,g7g5,quiet,28,0.253363,181.0,0
r7/7r/1p2Qpkp/1B4p1/PB6/2R5/6KP/3q4 b - - 4 30,-133.0,-194.0,d1d2,quiet,15,0.070816,61.0,0
