epoch,train_loss,val_loss,lr,seconds,clamped_feature_weights,clamped_output_weights
1,0.029427331573558303,0.014766784757375718,0.0009960967771506667,120.7,0,0
2,0.01211540913836895,0.013362948782742023,0.0009844486647586723,121.0,0,0
3,0.010247965704780223,0.012806177139282227,0.0009652393605146844,120.6,0,0
4,0.009048222062100137,0.01259309221059084,0.0009387718066217124,120.8,0,0
5,0.008183965548581753,0.012613378092646598,0.0009054634122155989,122.0,0,0
6,0.007625020255342206,0.012813088204711675,0.0008658394705735986,120.8,0,0
7,0.006924241513887425,0.012566267047077417,0.0008205248749256013,120.8,0,0
8,0.006413341649855685,0.012776461988687515,0.0007702342635146031,124.3,0,0
9,0.006022750140817941,0.012852719705551862,0.0007157607493247108,122.1,0,0
10,0.005741180036206933,0.013060965016484261,0.0006579634122155988,120.9,0,0
11,0.005390961093431454,0.013045512791723012,0.0005977537507199336,120.9,0,0
12,0.00505695280473368,0.013242837321013213,0.00053608130716701,120.2,0,0
13,0.00481883514417722,0.013252575416117907,0.0004739186928329898,120.8,0,0
