fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,165.0,226.0,c6f3,quiet,10,0.064918,61.0,0
3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,-41.0,26.0,g1g7,capture,14,0.096079,67.0,0
8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,-110.0,-24.0,c5c4,quiet,20,0.118733,86.0,0
2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,-654.0,-171.0,h3c8,capture,24,0.249379,483.0,0
6k1/p7/7P/P7/8/1p6/5K2/r7 b - - 0 37,459.0,1538.0,b3b2,quiet,7,0.066328,1079.0,0
1k1r4/pbppn1p1/3b4/1NpP1qP1/P7/4B3/1P4Q1/K2RR3 w - - 3 26,304.0,263.0,b5d6,capture,21,0.032303,41.0,0
8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,50.0,-1.0,e1d1,quiet,17,0.072902,51.0,0
5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,-277.0,544.0,a2a1q,promotion,12,0.789428,821.0,0
2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,75.0,87.0,c6e7,capture,20,0.016362,12.0,0
2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,37.0,-31.0,d2f2,quiet,22,0.097541,68.0,0
8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,-70.0,-162.0,c2b2,quiet,7,0.118195,92.0,0
3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,670.0,1673.0,e2c2,quiet,12,0.020632,1003.0,0
3r2k1/3P1p1p/1q4p1/8/1B6/P4Q2/1pr2PPP/3R2K1 w - - 0 35,-141.0,-44.0,b4e7,quiet,17,0.129479,97.0,0
